player,team1,team2,team,Our Score
SPD Smith,RR,SRH,RR,35
SV Samson,RR,SRH,RR,32
Sandeep Sharma,RR,SRH,SRH,33
T Natarajan,RR,SRH,SRH,26
V Shankar,RR,SRH,SRH,27
AB de Villiers,RCB,DC,RCB,45
AJ Finch,RCB,DC,RCB,31
AR Patel,RCB,DC,DC,32
Anrich Nortje,RCB,DC,DC,15
D Padikkal,RCB,DC,RCB,26
HV Patel,RCB,DC,DC,30
I Udana,RCB,DC,RCB,20
K Rabada,RCB,DC,DC,26
M Ali,RCB,DC,RCB,27
MP Stoinis,RCB,DC,DC,35
Mohammed Siraj,RCB,DC,RCB,25
N Saini,RCB,DC,RCB,27
P Shaw,RCB,DC,DC,25
R Ashwin,RCB,DC,DC,24
RR Pant,RCB,DC,DC,39
S Dhawan,RCB,DC,DC,36
S Dube,RCB,DC,RCB,15
S Hetmyer,RCB,DC,DC,32
SS Iyer,RCB,DC,DC,37
V Kohli,RCB,DC,RCB,42
Washington Sundar,RCB,DC,RCB,24
YS Chahal,RCB,DC,RCB,29
Arshdeep Singh,KKR,KXIP,KXIP,35
CH Gayle,KKR,KXIP,KXIP,55
CJ Jordan,KKR,KXIP,KXIP,27
CV Varun,KKR,KXIP,KKR,35
EJG Morgan,KKR,KXIP,KKR,32
GJ Maxwell,KKR,KXIP,KXIP,36
KD Karthik,KKR,KXIP,KKR,31
KL Nagarkoti,KKR,KXIP,KKR,32
KL Rahul,KKR,KXIP,KXIP,46
L Ferguson,KKR,KXIP,KKR,27
M Ashwin,KKR,KXIP,KXIP,15
Mandeep Singh,KKR,KXIP,KXIP,24
Mohammed Shami,KKR,KXIP,KXIP,26
N Pooran,KKR,KXIP,KXIP,40
PJ Cummins,KKR,KXIP,KKR,30
Prasidh Krishna,KKR,KXIP,KKR,20
RA Tripathi,KKR,KXIP,KKR,31
Ravi Bishnoi,KKR,KXIP,KXIP,30
SP Narine,KKR,KXIP,KKR,41
Shubman Gill,KKR,KXIP,KKR,35
AT Rayudu,CSK,MI,CSK,29
DL Chahar,CSK,MI,CSK,21
F du Plessis,CSK,MI,CSK,31
Hazlewood,CSK,MI,CSK,23
Imran Tahir,CSK,MI,CSK,33
Ishan Kishan,CSK,MI,MI,27
JJ Bumrah,CSK,MI,MI,27
KA Pollard,CSK,MI,MI,34
MK Pandey,CSK,MI,SRH,28
MS Dhoni,CSK,MI,CSK,32
NM Coulter-Nile,CSK,MI,MI,33
Q de Kock,CSK,MI,MI,37
RA Jadeja,CSK,MI,CSK,30
RD Chahar,CSK,MI,MI,25
RD Gaikwad,CSK,MI,CSK,28
S Curran,CSK,MI,CSK,28
SN Thakur,CSK,MI,CSK,22
TA Boult,CSK,MI,MI,22
AB de Villiers,RR,RCB,RCB,45
AJ Finch,RR,RCB,RCB,32
BA Stokes,RR,RCB,RR,37
CH Morris,RR,RCB,RCB,35
D Padikkal,RR,RCB,RCB,27
Gurkeerat Singh,RR,RCB,RCB,18
I Udana,RR,RCB,RCB,21
J Archer,RR,RCB,RR,37
JC Buttler,RR,RCB,RR,42
JD Unadkat,RR,RCB,RR,31
Kartik Tyagi,RR,RCB,RR,35
N Saini,RR,RCB,RCB,27
R Tewatia,RR,RCB,RR,27
RV Uthappa,RR,RCB,RR,33
S Gopal,RR,RCB,RR,35
SPD Smith,RR,RCB,RR,36
SV Samson,RR,RCB,RR,34
Shahbaz Ahmed ,RR,RCB,RCB,33
V Kohli,RR,RCB,RCB,42
Washington Sundar,RR,RCB,RCB,24
YS Chahal,RR,RCB,RCB,29
AD Russell,KXIP,KKR,KKR,54
Arshdeep Singh,KXIP,KKR,KXIP,33
CJ Jordan,KXIP,KKR,KXIP,26
CV Varun,KXIP,KKR,KKR,33
EJG Morgan,KXIP,KKR,KKR,30
GJ Maxwell,KXIP,KKR,KXIP,34
KD Karthik,KXIP,KKR,KKR,30
KL Nagarkoti,KXIP,KKR,KKR,31
KL Rahul,KXIP,KKR,KXIP,45
M Ur Rahman,KXIP,KKR,KXIP,16
MA Agarwal,KXIP,KKR,KXIP,23
